tid,name
3463,Industrial Ceramics
3463,Industrial Ceramics
3307,Indigenous Visual Culture
3307,Indigenous Visual Culture
23868,Games and Play
23868,Games and Play
3457,Furniture Design
3457,Furniture Design
3445,Expanded Animation
3445,Expanded Animation
3433,English
3433,English
3277,Drawing &amp; Painting
3277,Drawing &amp; Painting
3409,Communication Design
3409,Communication Design
3397,Art &amp; Social Change
25090,Art and Public Spaces
3397,Art &amp; Social Change
25090,Art and Public Spaces
3343,Sculpture/Installation
3337,Printmaking
3331,Photography
3325,Material Art &amp; Design
3319,Integrated Media
3307,Indigenous Visual Culture
3301,Illustration
3277,Drawing &amp; Painting
3361,Criticism and Curatorial Practice (CRCP) (MFA)
3373,"Digital Futures (DF) (MA, MFA, MDes)"
3343,Sculpture/Installation
3337,Printmaking
3331,Photography
3325,Material Art &amp; Design
3319,Integrated Media
3307,Indigenous Visual Culture
3301,Illustration
3277,Drawing &amp; Painting
3373,"Digital Futures (DF) (MA, MFA, MDes)"
3241,Criticism &amp; Curatorial Practice
3343,Sculpture/Installation
3337,Printmaking
3331,Photography
3325,Material Art &amp; Design
3319,Integrated Media
3307,Indigenous Visual Culture
3301,Illustration
3277,Drawing &amp; Painting
3361,Criticism and Curatorial Practice (CRCP) (MFA)
3373,"Digital Futures (DF) (MA, MFA, MDes)"
3343,Sculpture/Installation
3337,Printmaking
3331,Photography
3325,Material Art &amp; Design
3319,Integrated Media
3307,Indigenous Visual Culture
3301,Illustration
3277,Drawing &amp; Painting
3373,"Digital Futures (DF) (MA, MFA, MDes)"
3367,Design for Health (DHEA) (MDes)
3361,Criticism and Curatorial Practice (CRCP) (MFA)
3343,Sculpture/Installation
3337,Printmaking
3331,Photography
3325,Material Art &amp; Design
3319,Integrated Media
3307,Indigenous Visual Culture
3301,Illustration
3277,Drawing &amp; Painting
3385,"Interdisciplinary Master&#039;s in Art, Media and Design (IAMD) (MA, MFA &amp; MDes)"
3475,Social Sciences
3343,Sculpture/Installation
3337,Printmaking
3331,Photography
3469,On-Screen Media
